# generated by tools/extract_ug835.py -- do not edit
# name	categories	summary	syntax
add_bp		Add breakpoint at a line of a HDL source.	add_bp [-quiet] [-verbose] <file_name> <line_number>
add_cells_to_pblock	Floorplan, XDC	Add cells to a Pblock.	add_cells_to_pblock [-top] [-add_primitives] [-clear_locs] [-quiet] [-verbose] <pblock> [<cells>...]
add_condition		Conditionally execute Tcl commands.	add_condition [-name <arg>] [-radix <arg>] [-notrace] [-quiet] [-verbose] <condition_expression> <commands>
add_drc_checks	DRC, Object	Add DRC rule check objects to a rule deck.	add_drc_checks [-of_objects <args>] [-regexp] [-nocase] [-filter <arg>] -ruledeck <arg> [-quiet] [-verbose] [<patterns>]
add_files	Project	Add sources to the active fileset.	add_files [-fileset <arg>] [-of_objects <args>] [-norecurse] [-copy_to <arg>] [-force] [-scan_for_includes] [-quiet] [-verbose] [<files>...]
add_force		Force value of signal, wire, or reg to a specified value.	add_force [-radix <arg>] [-repeat_every <arg>] [-cancel_after <arg>] [-quiet] [-verbose] <hdl_object> <values>...
add_hw_hbm_pc	Hardware	Select Pseudo Channel to add to Activity Monitor on the specified hardware HBM(s). Must specify the Memory Controller number first, follow by Pseudo Channel number.	add_hw_hbm_pc [-quiet] [-verbose] <mc_num> <pc_num> <hw_objects>
add_hw_probe_enum	Hardware	Add an enumerated name-value pair to a hw_probe enumeration.	add_hw_probe_enum [-no_gui_update] [-dict <args>] [-quiet] [-verbose] <name> <value> <hw_probe>
add_peripheral_interface	Project, IPFlow, CreatePeripheral	Add a new bus interface to a peripheral.	add_peripheral_interface -interface_mode <arg> -axi_type <arg> [-quiet] [-verbose] <name> <peripheral>
add_to_power_rail	XDC, Floorplan	Add power sources to power Rail.	add_to_power_rail [-power_sources <args>] [-phased_power_source <args>] [-quiet] [-verbose] <power_rail>
add_wave	Waveform	Add new waves.	add_wave [-into <args>] [-at_wave <args>] [-after_wave <args>] [-before_wave <args>] [-reverse] [-radix <arg>] [-color <arg>] [-name <arg>] [-recursive] [-r] [-regexp] [-nocase] [-quiet] [-verbose] <items>...
add_wave_divider	Waveform	Add a new divider.	add_wave_divider [-into <args>] [-at_wave <args>] [-after_wave <args>] [-before_wave <args>] [-color <arg>] [-quiet] [-verbose] [<name>]
add_wave_group	Waveform	Add a new group.	add_wave_group [-into <args>] [-at_wave <args>] [-after_wave <args>] [-before_wave <args>] [-quiet] [-verbose] [<name>]
add_wave_marker	Waveform	Create a new wave marker.	add_wave_marker [-into <arg>] [-name <arg>] [-quiet] [-verbose] [<time>] [<unit>]
add_wave_virtual_bus	Waveform	Add a new virtual bus.	add_wave_virtual_bus [-into <args>] [-at_wave <args>] [-after_wave <args>] [-before_wave <args>] [-reverse] [-radix <arg>] [-color <arg>] [-quiet] [-verbose] [<name>]
all_clocks	SDC, XDC	Get a list of all clocks in the current design.	all_clocks [-quiet] [-verbose]
all_cpus	XDC	Get a list of cpu cells in the current design.	all_cpus [-quiet] [-verbose]
all_dsps	XDC	Get a list of dsp cells in the current design.	all_dsps [-quiet] [-verbose]
all_fanin	XDC	Get a list of pins or cells in fanin of specified sinks.	all_fanin [-startpoints_only] [-flat] [-only_cells] [-levels <arg>] [-pin_levels <arg>] [-trace_arcs <arg>] [-quiet] [-verbose] <to>
all_fanout	XDC	Get a list of pins or cells in fanout of specified sources.	all_fanout [-endpoints_only] [-flat] [-only_cells] [-levels <arg>] [-pin_levels <arg>] [-trace_arcs <arg>] [-quiet] [-verbose] <from>
